POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Tyler Reddick	8	Chevrolet	334	4	70	40	0	0
2	Joey Logano	22	Ford	334	2	15	46	11	0
3	Justin Haley	31	Chevrolet	334	31	0	34	0	0
4	Ryan Blaney	12	Ford	334	14	29	43	10	0
5	Chase Briscoe	14	Ford	334	30	0	32	0	0
6	Erik Jones	43	Chevrolet	334	27	1	31	0	0
7	William Byron	24	Chevrolet	334	3	42	43	13	0
8	Brad Keselowski	6	Ford	334	1	31	39	10	0
9	Kyle Larson	5	Chevrolet	334	9	19	38	10	0
10	Denny Hamlin	11	Toyota	334	8	2	36	9	0
11	Michael McDowell	34	Ford	334	5	12	28	2	0
12	Daniel Suarez	99	Chevrolet	334	10	1	38	13	0
13	Ross Chastain	1	Chevrolet	334	12	1	39	15	0
14	Corey LaJoie	7	Chevrolet	334	29	0	23	0	0
15	Austin Cindric	2	Ford	334	11	0	28	6	0
16	Ty Dillon	42	Chevrolet	334	32	0	21	0	0
17	Austin Dillon	3	Chevrolet	334	7	3	25	5	0
18	Harrison Burton	21	Ford	334	20	15	19	0	0
19	Kevin Harvick	4	Ford	334	23	9	18	0	0
20	Ty Gibbs	23	Toyota	334	16	0	0	0	0
21	Noah Gragson	16	Chevrolet	334	26	0	0	0	0
22	Landon Cassill	77	Chevrolet	334	35	0	0	0	0
23	Garrett Smithley	15	Ford	334	33	0	0	0	0
24	Aric Almirola	10	Ford	334	25	0	13	0	0
25	Bubba Wallace	45	Toyota	334	19	0	12	0	0
26	B.J. McLeod	78	Ford	333	34	1	0	0	0
27	Ricky Stenhouse Jr.	47	Chevrolet	333	21	23	14	4	0
28	Todd Gilliland	38	Ford	333	28	1	9	0	0
29	Alex Bowman	48	Chevrolet	329	17	0	8	0	0
30	Chris Buescher	17	Ford	270	13	0	7	0	0
31	Martin Truex Jr.	19	Toyota	267	15	15	8	2	0
32	Chase Elliott	9	Chevrolet	184	6	44	5	0	0
33	Cody Ware	51	Ford	166	36	0	4	0	0
34	Christopher Bell	20	Toyota	136	22	0	3	0	0
35	Cole Custer	41	Ford	77	24	0	2	0	0
36	Kyle Busch	18	Toyota	48	18	0	1	0	0
