POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ryan Blaney	12	Ford	301	2	116	57	17	0	
2	Josh Berry	21	Ford	301	3	10	43	8	0	
3	William Byron	24	Chevrolet	301	5	0	50	16	0	
4	Joey Logano	22	Ford	301	1	147	52	19	0	
5	Chase Elliott	9	Chevrolet	301	27	0	36	4	0	
6	Christopher Bell	20	Toyota	301	19	0	36	5	0	
7	Kyle Larson	5	Chevrolet	301	16	4	44	14	0	
8	Michael McDowell	71	Chevrolet	301	11	0	30	1	0	
9	Ross Chastain	1	Chevrolet	301	8	0	28	0	0	
10	Chase Briscoe	19	Toyota	301	18	19	29	2	0	
11	Carson Hocevar	77	Chevrolet	301	6	0	39	13	0	
12	Denny Hamlin	11	Toyota	301	9	0	28	3	0	
13	Austin Dillon	3	Chevrolet	301	28	0	24	0	0	
14	Ryan Preece	60	Ford	301	23	0	23	0	0	
15	Alex Bowman	48	Chevrolet	301	7	0	25	3	0	
16	Noah Gragson	4	Ford	301	33	0	21	0	0	
17	Austin Cindric	2	Ford	301	22	0	20	0	0	
18	Chris Buescher	17	Ford	301	15	0	19	0	0	
19	Todd Gilliland	34	Ford	301	36	0	18	0	0	
20	AJ Allmendinger	16	Chevrolet	301	12	0	17	0	0	
21	Tyler Reddick	45	Toyota	301	4	0	18	2	0	
22	Riley Herbst	35	Toyota	301	25	0	15	0	0	
23	Brad Keselowski	6	Ford	301	17	0	14	0	0	
24	Cole Custer	41	Ford	301	31	0	13	0	0	
25	Ricky Stenhouse Jr.	47	Chevrolet	300	34	0	12	0	0	
26	Bubba Wallace	23	Toyota	300	14	0	11	0	0	
27	Zane Smith	38	Ford	300	20	0	10	0	0	
28	Erik Jones	43	Toyota	300	26	0	9	0	0	
29	Ty Dillon	10	Chevrolet	300	30	0	8	0	0	
30	Kyle Busch	8	Chevrolet	297	24	0	7	0	0	
31	Cody Ware	51	Ford	296	35	2	6	0	0	
32	Shane van Gisbergen	88	Chevrolet	250	10	0	9	4	0	
33	Justin Haley	7	Chevrolet	207	21	0	4	0	0	
34	John Hunter Nemechek	42	Toyota	146	29	0	3	0	0	
35	Ty Gibbs	54	Toyota	134	13	0	2	0	0	
36	Daniel Suarez	99	Chevrolet	117	32	0	1	0	0	
