POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Shane van Gisbergen	88	Chevrolet	109	2	57	56	16	0	
2	Kyle Larson	5	Chevrolet	109	4	27	49	14	0	
3	Christopher Bell	20	Toyota	109	7	0	45	11	0	
4	Chris Buescher	17	Ford	109	5	5	33	0	0	
5	Michael McDowell	71	Chevrolet	109	6	0	37	5	0	
6	Ryan Preece	60	Ford	109	29	0	31	0	0	
7	Daniel Suarez	99	Chevrolet	109	20	0	32	2	0	
8	Chase Elliott	9	Chevrolet	109	15	0	40	11	0	
9	AJ Allmendinger	16	Chevrolet	109	9	13	28	0	0	
10	Tyler Reddick	45	Toyota	109	1	3	37	10	0	
11	William Byron	24	Chevrolet	109	13	0	28	2	0	
12	Ty Gibbs	54	Toyota	109	3	0	33	8	0	
13	Ryan Blaney	12	Ford	109	11	4	34	10	0	
14	Chase Briscoe	19	Toyota	109	8	0	27	4	0	
15	Bubba Wallace	23	Toyota	109	12	0	22	0	0	
16	Josh Berry	21	Ford	109	33	0	21	0	0	
17	Todd Gilliland	34	Ford	109	31	0	20	0	0	
18	Alex Bowman	48	Chevrolet	109	25	0	19	0	0	
19	Ricky Stenhouse Jr.	47	Chevrolet	109	26	0	18	0	0	
20	Joey Logano	22	Ford	109	17	0	20	3	0	
21	Ross Chastain	1	Chevrolet	109	10	0	29	13	0	
22	Cole Custer	41	Ford	109	18	0	16	1	0	
23	Denny Hamlin	11	Toyota	109	14	0	14	0	0	
24	Zane Smith	38	Ford	109	24	0	13	0	0	
25	Justin Haley	7	Chevrolet	109	21	0	12	0	0	
26	John Hunter Nemechek	42	Toyota	109	35	0	11	0	0	
27	Ty Dillon	10	Chevrolet	108	16	0	11	1	0	
28	Noah Gragson	4	Ford	108	30	0	9	0	0	
29	Carson Hocevar	77	Chevrolet	108	27	0	8	0	0	
30	Erik Jones	43	Toyota	108	37	0	7	0	0	
31	Austin Dillon	3	Chevrolet	108	36	0	6	0	0	
32	Josh Bilicki	66	Ford	108	34	0	0	0	0	
33	Cody Ware	51	Ford	108	32	0	4	0	0	
34	Kyle Busch	8	Chevrolet	100	28	0	3	0	0	
35	Brad Keselowski	6	Ford	89	22	0	2	0	0	
36	Austin Cindric	2	Ford	87	19	0	1	0	0	
37	Riley Herbst	35	Toyota	108	23	0	1	0	0	
