POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ross Chastain	1	Chevrolet	400	40	8	50	10	0	
2	William Byron	24	Chevrolet	400	3	283	65	30	0	
3	Chase Briscoe	19	Toyota	400	1	1	36	2	0	
4	AJ Allmendinger	16	Chevrolet	400	5	0	49	16	0	
5	Brad Keselowski	6	Ford	400	35	5	32	0	0	
6	Chase Elliott	9	Chevrolet	400	22	2	37	6	0	
7	Michael McDowell	71	Chevrolet	400	15	0	31	1	0	
8	Christopher Bell	20	Toyota	400	10	5	41	12	0	
9	Ryan Preece	60	Ford	400	28	0	29	1	0	
10	Noah Gragson	4	Ford	400	8	0	32	5	0	
11	Ricky Stenhouse Jr.	47	Chevrolet	400	11	0	26	0	0	
12	Josh Berry	21	Ford	400	18	0	25	0	0	
13	Erik Jones	43	Toyota	400	27	0	27	3	0	
14	Shane van Gisbergen	88	Chevrolet	400	30	0	23	0	0	
15	Kyle Busch	8	Chevrolet	400	24	0	22	0	0	
16	Denny Hamlin	11	Toyota	400	20	53	44	23	0	
17	Joey Logano	22	Ford	400	16	0	20	0	0	
18	Todd Gilliland	34	Ford	399	34	0	19	0	0	
19	Ty Dillon	10	Chevrolet	399	19	0	18	0	0	
20	Austin Dillon	3	Chevrolet	399	26	0	17	0	0	
21	Cole Custer	41	Ford	398	29	0	16	0	0	
22	Chris Buescher	17	Ford	398	4	0	20	5	0	
23	Connor Zilisch	87	Chevrolet	398	33	0	0	0	0	
24	Ty Gibbs	54	Toyota	398	7	6	13	0	0	
25	Cody Ware	51	Ford	398	36	0	12	0	0	
26	Tyler Reddick	45	Toyota	398	12	1	35	24	0	
27	John Hunter Nemechek	42	Toyota	398	6	0	23	13	0	
28	Riley Herbst	35	Toyota	397	31	0	9	0	0	
29	Alex Bowman	48	Chevrolet	397	9	0	8	0	0	
30	Justin Haley	7	Chevrolet	395	13	0	7	0	0	
31	Austin Cindric	2	Ford	388	14	0	6	0	0	
32	Derek Kraus	44	Chevrolet	380	37	0	5	0	0	
33	Josh Bilicki	66	Ford	343	38	0	0	0	0	
34	Carson Hocevar	77	Chevrolet	307	39	2	18	15	0	
35	Bubba Wallace	23	Toyota	307	32	0	2	0	0	
36	Daniel Suarez	99	Chevrolet	245	25	0	1	0	0	
37	Kyle Larson	5	Chevrolet	245	2	34	1	0	0	
38	Ryan Blaney	12	Ford	245	21	0	1	0	0	
39	Zane Smith	38	Ford	236	23	0	1	0	0	
40	Jimmie Johnson	84	Toyota	111	17	0	1	0	0	
