POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	200	3	5	51	11	0	
2	Chris Buescher	17	Ford	200	6	13	45	10	0	
3	Ty Gibbs	54	Toyota	200	8	0	34	0	0	
4	Bubba Wallace	23	Toyota	200	9	0	40	7	0	
5	Kyle Larson	5	Chevrolet	200	5	0	36	4	0	
6	Ross Chastain	1	Chevrolet	200	20	0	37	6	0	
7	Zane Smith	38	Ford	200	10	2	30	0	0	
8	Kyle Busch	8	Chevrolet	200	2	0	31	2	0	
9	Ryan Preece	60	Ford	200	23	0	33	5	0	
10	Brad Keselowski	6	Ford	200	27	0	27	0	0	
11	Erik Jones	43	Toyota	200	22	0	27	1	0	
12	Josh Berry	21	Ford	200	7	0	31	6	0	
13	Tyler Reddick	45	Toyota	200	12	0	31	7	0	
14	Daniel Suarez	99	Chevrolet	200	35	0	23	0	0	
15	Chase Elliott	9	Chevrolet	200	17	19	22	0	0	
16	Christopher Bell	20	Toyota	200	25	2	21	0	0	
17	AJ Allmendinger	16	Chevrolet	200	19	0	20	0	0	
18	Shane van Gisbergen	88	Chevrolet	200	26	0	19	0	0	
19	Austin Dillon	3	Chevrolet	200	28	0	18	0	0	
20	Ricky Stenhouse Jr.	47	Chevrolet	200	30	0	17	0	0	
21	Justin Haley	7	Chevrolet	200	31	0	16	0	0	
22	Joey Logano	22	Ford	200	15	0	15	0	0	
23	Chase Briscoe	19	Toyota	200	1	11	21	7	0	
24	Ty Dillon	10	Chevrolet	200	18	0	15	2	0	
25	Riley Herbst	35	Toyota	200	34	0	12	0	0	
26	Cody Ware	51	Ford	200	36	1	11	0	0	
27	Noah Gragson	4	Ford	200	29	0	10	0	0	
28	William Byron	24	Chevrolet	200	4	98	29	20	0	
29	Carson Hocevar	77	Chevrolet	199	14	32	17	9	0	
30	Michael McDowell	71	Chevrolet	199	32	0	7	0	0	
31	Austin Cindric	2	Ford	199	11	10	15	9	0	
32	Ryan Blaney	12	Ford	196	13	7	10	5	0	
33	Todd Gilliland	34	Ford	146	33	0	4	0	0	
34	John Hunter Nemechek	42	Toyota	72	21	0	3	0	0	
35	Cole Custer	41	Ford	66	24	0	2	0	0	
36	Alex Bowman	48	Chevrolet	66	16	0	1	0	0	
