POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Joey Logano	22	Ford	312	2	107	40	0	0
2	Ryan Blaney	12	Ford	312	17	12	35	0	0
3	William Byron	24	Chevrolet	312	8	19	34	0	0
4	Kyle Larson	5	Chevrolet	312	4	13	39	6	0
5	Christopher Bell	20	Toyota	312	7	143	49	17	0
6	Tyler Reddick	45	Toyota	312	10	0	31	0	0
7	Bubba Wallace	23	Toyota	312	29	0	30	0	0
8	Chase Elliott	9	Chevrolet	312	5	7	38	9	0
9	Chris Buescher	17	Ford	312	24	0	33	5	0
10	Daniel Suarez	99	Chevrolet	312	34	0	27	0	0
11	Denny Hamlin	11	Toyota	312	14	0	35	9	0
12	Noah Gragson	10	Ford	312	21	0	25	0	0
13	Austin Cindric	2	Ford	312	11	0	25	1	0
14	Alex Bowman	48	Chevrolet	312	16	1	23	0	0
15	Brad Keselowski	6	Ford	312	27	0	22	0	0
16	Harrison Burton	21	Ford	312	9	0	21	0	0
17	Martin Truex Jr.	19	Toyota	312	1	9	31	11	0
18	Carson Hocevar	77	Chevrolet	312	15	0	19	0	0
19	Ross Chastain	1	Chevrolet	312	3	0	18	0	0
20	Todd Gilliland	38	Ford	311	32	1	17	0	0
21	Kyle Busch	8	Chevrolet	311	25	0	16	0	0
22	Erik Jones	43	Toyota	311	19	0	15	0	0
23	Daniel Hemric	10	Chevrolet	311	22	0	14	0	0
24	Josh Berry	4	Ford	311	39	0	13	0	0
25	Derek Kraus	16	Chevrolet	311	26	0	12	0	0
26	Jimmie Johnson	84	Toyota	310	23	0	11	0	0
27	Austin Dillon	3	Chevrolet	310	36	0	10	0	0
28	Justin Haley	7	Chevrolet	310	13	0	9	0	0
29	Chase Briscoe	14	Ford	310	12	0	8	0	0
30	John Hunter Nemechek	42	Toyota	310	18	0	7	0	0
31	Michael McDowell	34	Ford	309	35	0	6	0	0
32	Corey LaJoie	51	Ford	309	20	0	5	0	0
33	Ricky Stenhouse Jr.	47	Chevrolet	309	30	0	4	0	0
34	Kaz Grala	15	Ford	308	31	0	3	0	0
35	J.J. Yeley	44	Chevrolet	306	37	0	0	0	0
36	Chad Finchum	66	Ford	302	38	0	0	0	0
37	Ryan Preece	41	Ford	302	33	0	1	0	0
38	Jeb Burton	50	Chevrolet	294	40	0	0	0	0
39	Zane Smith	71	Chevrolet	247	28	0	1	0	0
40	Ty Gibbs	54	Toyota	1	6	0	1	0	0
