POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	William Byron	24	Chevrolet	500	1	304	61	21	0	
2	Ryan Blaney	12	Ford	500	31	177	39	4	0	
3	Chase Elliott	9	Chevrolet	500	8	0	48	14	0	
4	Ross Chastain	1	Chevrolet	500	13	8	33	0	0	
5	Kyle Larson	5	Chevrolet	500	3	0	49	17	0	
6	Ryan Preece	60	Ford	500	18	0	35	4	0	
7	Christopher Bell	20	Toyota	500	12	0	41	11	0	
8	Joey Logano	22	Ford	500	4	0	38	9	0	
9	Todd Gilliland	34	Ford	500	16	0	36	8	0	
10	Josh Berry	21	Ford	500	27	0	27	0	0	
11	Tyler Reddick	45	Toyota	500	14	6	28	2	0	
12	Ty Gibbs	54	Toyota	500	2	0	31	6	0	
13	Kyle Busch	8	Chevrolet	500	7	0	24	0	0	
14	Shane van Gisbergen	88	Chevrolet	500	22	0	26	3	0	
15	Austin Cindric	2	Ford	500	10	0	23	1	0	
16	Austin Dillon	3	Chevrolet	500	20	0	21	0	0	
17	Cole Custer	41	Ford	500	6	0	20	0	0	
18	Bubba Wallace	23	Toyota	500	21	0	19	0	0	
19	Justin Haley	7	Chevrolet	499	34	0	18	0	0	
20	Brad Keselowski	6	Ford	499	19	0	17	0	0	
21	John Hunter Nemechek	42	Toyota	499	24	0	16	0	0	
22	Daniel Suarez	99	Chevrolet	499	30	0	15	0	0	
23	Alex Bowman	48	Chevrolet	499	17	0	14	0	0	
24	Michael McDowell	71	Chevrolet	499	11	5	13	0	0	
25	Zane Smith	38	Ford	498	23	0	12	0	0	
26	Ty Dillon	10	Chevrolet	498	26	0	11	0	0	
27	Ricky Stenhouse Jr.	47	Chevrolet	498	32	0	10	0	0	
28	AJ Allmendinger	16	Chevrolet	497	33	0	9	0	0	
29	Chris Buescher	17	Ford	497	29	0	8	0	0	
30	Noah Gragson	4	Ford	497	35	0	7	0	0	
31	Carson Hocevar	77	Chevrolet	497	15	0	6	0	0	
32	Cody Ware	51	Ford	488	36	0	5	0	0	
33	Casey Mears	66	Ford	478	37	0	0	0	0	
34	Erik Jones	43	Toyota	406	28	0	4	1	0	
35	Denny Hamlin	11	Toyota	334	5	0	7	5	0	
36	Riley Herbst	35	Toyota	323	25	0	1	0	0	
37	Chase Briscoe	19	Toyota	295	9	0	6	5	0	
