POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	267	1	9	54	14	0	
2	Kyle Larson	5	Chevrolet	267	6	129	54	19	0	
3	Christopher Bell	20	Toyota	267	3	0	43	9	0	
4	Chase Briscoe	19	Toyota	267	2	57	48	15	0	
5	Tyler Reddick	45	Toyota	267	8	1	44	12	0	
6	Joey Logano	22	Ford	267	9	1	34	3	0	
7	Alex Bowman	48	Chevrolet	267	12	0	33	3	0	
8	Kyle Busch	8	Chevrolet	267	32	0	29	0	0	
9	Ryan Preece	60	Ford	267	16	0	28	0	0	
10	Brad Keselowski	6	Ford	267	34	2	27	0	0	
11	Austin Cindric	2	Ford	267	31	0	26	0	0	
12	Chris Buescher	17	Ford	267	11	0	25	0	0	
13	Noah Gragson	4	Ford	267	28	0	24	0	0	
14	Ricky Stenhouse Jr.	47	Chevrolet	267	24	0	23	0	0	
15	Erik Jones	43	Toyota	267	19	0	22	0	0	
16	Michael McDowell	71	Chevrolet	267	18	0	21	0	0	
17	Riley Herbst	35	Toyota	267	33	0	20	0	0	
18	Chase Elliott	9	Chevrolet	267	4	0	25	6	0	
19	AJ Allmendinger	16	Chevrolet	267	20	0	18	0	0	
20	Daniel Suarez	99	Chevrolet	267	17	0	17	0	0	
21	Todd Gilliland	34	Ford	267	30	1	16	0	0	
22	Bubba Wallace	23	Toyota	267	7	5	20	5	0	
23	Ross Chastain	1	Chevrolet	267	15	0	14	0	0	
24	Zane Smith	38	Ford	267	23	0	13	0	0	
25	Austin Dillon	3	Chevrolet	267	25	0	12	0	0	
26	Josh Berry	21	Ford	266	29	0	11	0	0	
27	Justin Haley	7	Chevrolet	266	27	0	10	0	0	
28	Cole Custer	41	Ford	266	21	1	9	0	0	
29	John Hunter Nemechek	42	Toyota	265	26	0	8	0	0	
30	J.J. Yeley	44	Chevrolet	263	37	0	0	0	0	
31	Katherine Legge	78	Chevrolet	261	38	0	6	0	0	
32	Carson Hocevar	77	Chevrolet	252	22	6	6	1	0	
33	Shane van Gisbergen	88	Chevrolet	245	13	0	4	0	0	
34	Ty Gibbs	54	Toyota	244	10	0	9	6	0	
35	Cody Ware	51	Ford	243	36	0	2	0	0	
36	William Byron	24	Chevrolet	235	5	55	19	18	0	
37	Ty Dillon	10	Chevrolet	233	35	0	1	0	0	
38	Ryan Blaney	12	Ford	70	14	0	1	0	0	
