POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Ricky Stenhouse Jr.	47	Chevrolet	195	32	19	49	9	0
2	Brad Keselowski	6	Ford	195	13	2	35	0	0
3	William Byron	24	Chevrolet	195	16	1	48	14	0
4	Kyle Larson	5	Chevrolet	195	12	1	42	9	0
5	Erik Jones	43	Toyota	195	30	0	32	0	0
6	Christopher Bell	20	Toyota	195	21	0	37	6	0
7	Justin Haley	7	Chevrolet	195	35	4	30	0	0
8	Austin Dillon	3	Chevrolet	195	7	1	29	0	0
9	Bubba Wallace	23	Toyota	195	26	3	32	4	0
10	Denny Hamlin	11	Toyota	195	8	0	27	0	0
11	Martin Truex Jr.	19	Toyota	195	24	0	26	0	0
12	Cody Ware	15	Ford	195	34	1	25	0	0
13	Ty Gibbs	54	Toyota	195	15	0	24	0	0
14	Carson Hocevar	77	Chevrolet	195	37	0	23	0	0
15	Shane van Gisbergen	16	Chevrolet	195	17	9	0	0	0
16	Alex Bowman	48	Chevrolet	195	23	1	26	5	0
17	Chris Buescher	17	Ford	195	20	12	30	10	0
18	Corey LaJoie	51	Ford	195	28	5	19	0	0
19	Kyle Busch	8	Chevrolet	195	4	7	26	8	0
20	Tyler Reddick	45	Toyota	195	14	2	22	5	0
21	Zane Smith	71	Chevrolet	195	39	0	16	0	0
22	B.J. McLeod	78	Chevrolet	195	38	1	0	0	0
23	Todd Gilliland	38	Ford	194	3	2	14	0	0
24	Anthony Alfredo	62	Chevrolet	194	33	0	0	0	0
25	Noah Gragson	10	Ford	194	22	0	12	0	0
26	Daniel Suarez	99	Chevrolet	194	31	0	11	0	0
27	J.J. Yeley	44	Chevrolet	193	40	0	0	0	0
28	AJ Allmendinger	13	Chevrolet	193	25	9	0	0	0
29	Chase Elliott	9	Chevrolet	190	11	1	17	9	0
30	Chase Briscoe	14	Ford	189	36	0	10	3	0
31	John Hunter Nemechek	42	Toyota	188	29	0	6	0	0
32	Austin Cindric	2	Ford	183	2	29	17	12	0
33	Joey Logano	22	Ford	183	6	19	4	0	0
34	Harrison Burton	21	Ford	183	9	0	3	0	0
35	Ryan Preece	41	Ford	183	18	0	2	0	0
36	Josh Berry	4	Ford	183	19	0	1	0	0
37	Michael McDowell	34	Ford	183	1	42	1	0	0
38	Daniel Hemric	10	Chevrolet	183	10	1	1	0	0
39	Ryan Blaney	12	Ford	124	5	6	5	4	0
40	Ross Chastain	1	Chevrolet	120	27	17	6	5	0
