POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	167	5	8	49	9	0
2	Tyler Reddick	45	Toyota	167	1	40	46	11	0
3	Ryan Blaney	12	Ford	167	7	0	49	15	0
4	Christopher Bell	20	Toyota	167	18	2	35	2	0
5	Bubba Wallace	23	Toyota	167	17	26	42	10	0
6	Todd Gilliland	38	Ford	167	24	1	31	0	0
7	Austin Cindric	2	Ford	167	38	0	30	0	0
8	Daniel Suarez	99	Chevrolet	167	25	0	29	0	0
9	Noah Gragson	10	Ford	167	21	3	29	1	0
10	Chase Elliott	9	Chevrolet	167	3	1	36	9	0
11	Ricky Stenhouse Jr.	47	Chevrolet	167	9	0	32	6	0
12	Carson Hocevar	77	Chevrolet	167	30	0	25	0	0
13	Austin Dillon	3	Chevrolet	167	11	0	24	0	0
14	Corey LaJoie	7	Chevrolet	167	19	0	23	0	0
15	Ross Chastain	1	Chevrolet	167	28	8	22	0	0
16	Michael McDowell	34	Ford	167	8	1	26	5	0
17	Zane Smith	71	Chevrolet	167	27	0	20	0	0
18	Cody Ware	15	Ford	167	36	0	19	0	0
19	Ty Dillon	33	Chevrolet	167	22	0	0	0	0
20	Justin Haley	51	Ford	167	35	0	17	0	0
21	Brad Keselowski	6	Ford	167	26	35	16	0	0
22	Chris Buescher	17	Ford	167	23	0	15	0	0
23	Ty Gibbs	54	Toyota	167	6	0	17	3	0
24	Chase Briscoe	14	Ford	167	20	0	14	1	0
25	Kyle Busch	8	Chevrolet	166	34	5	12	0	0
26	Ryan Preece	41	Ford	165	31	0	11	0	0
27	Martin Truex Jr.	19	Toyota	165	14	0	13	3	0
28	Erik Jones	43	Toyota	165	29	0	9	0	0
29	John Hunter Nemechek	42	Toyota	161	10	16	14	6	0
30	Daniel Hemric	10	Chevrolet	161	32	0	7	0	0
31	Alex Bowman	48	Chevrolet	161	13	0	10	4	0
32	Denny Hamlin	11	Toyota	161	2	21	23	18	0
33	Jimmie Johnson	84	Toyota	110	33	0	4	0	0
34	Joey Logano	22	Ford	109	12	0	3	0	0
35	Josh Berry	4	Ford	104	37	0	2	0	0
36	Harrison Burton	21	Ford	74	16	0	1	0	0
37	AJ Allmendinger	16	Chevrolet	74	15	0	0	0	0
38	William Byron	24	Chevrolet	73	4	0	8	7	0
39	B.J. McLeod	66	Ford	15	39	0	0	0	0
