POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	109	6	62	48	8	0
2	Christopher Bell	20	Toyota	109	12	1	35	0	0
3	William Byron	24	Chevrolet	109	10	0	34	0	0
4	Austin Cindric	2	Ford	109	5	0	39	6	0
5	Chase Elliott	9	Chevrolet	109	7	0	48	16	0
6	AJ Allmendinger	16	Chevrolet	109	3	14	0	0	0
7	Shane van Gisbergen	13	Chevrolet	109	1	21	0	0	0
8	Joey Logano	22	Ford	109	4	0	47	18	0
9	Bubba Wallace	23	Toyota	109	9	0	35	7	0
10	Ryan Blaney	12	Ford	109	14	0	40	13	0
11	Tyler Reddick	45	Toyota	109	2	6	36	10	0
12	Carson Hocevar	77	Chevrolet	109	20	0	25	0	0
13	Kyle Busch	8	Chevrolet	109	11	0	27	3	0
14	Denny Hamlin	11	Toyota	109	18	0	24	1	0
15	Michael McDowell	34	Ford	109	21	0	26	4	0
16	Ricky Stenhouse Jr.	47	Chevrolet	109	24	0	21	0	0
17	Chris Buescher	17	Ford	109	29	0	20	0	0
18	Todd Gilliland	38	Ford	109	15	0	19	0	0
19	Zane Smith	71	Chevrolet	109	23	0	18	0	0
20	Harrison Burton	21	Ford	109	26	0	17	0	0
21	Martin Truex Jr.	19	Toyota	109	30	0	16	0	0
22	Josh Berry	4	Ford	109	36	0	15	0	0
23	Brad Keselowski	6	Ford	109	8	0	16	2	0
24	Daniel Hemric	10	Chevrolet	109	27	0	13	0	0
25	Ryan Preece	41	Ford	109	34	0	12	0	0
26	Justin Haley	7	Chevrolet	109	33	0	11	0	0
27	Kaz Grala	15	Ford	109	31	0	10	0	0
28	Ross Chastain	1	Chevrolet	109	16	0	9	0	0
29	Josh Bilicki	66	Ford	109	38	0	0	0	0
30	Daniel Suarez	99	Chevrolet	108	13	0	7	0	0
31	Noah Gragson	10	Ford	108	32	0	6	0	0
32	Austin Dillon	3	Chevrolet	107	22	0	5	0	0
33	Erik Jones	43	Toyota	56	37	0	4	0	0
34	John Hunter Nemechek	42	Toyota	55	35	0	3	0	0
35	Ty Gibbs	54	Toyota	54	19	0	6	4	0
36	Chase Briscoe	14	Ford	41	25	0	1	0	0
37	Corey LaJoie	51	Ford	3	28	0	1	0	0
38	Alex Bowman	48	Chevrolet	109	17	5	1	0	0
