POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Tyler Reddick	45	Toyota	206	2	15	40	0	0
2	William Byron	24	Chevrolet	206	9	20	50	15	0
3	Ty Gibbs	54	Toyota	206	19	2	42	8	0
4	Kyle Busch	8	Chevrolet	206	13	24	48	15	0
5	Brad Keselowski	6	Ford	206	15	2	41	9	0
6	Chris Buescher	17	Ford	206	18	0	37	6	0
7	Zane Smith	71	Chevrolet	206	27	0	30	0	0
8	Daniel Suarez	99	Chevrolet	206	12	7	29	0	0
9	Denny Hamlin	11	Toyota	206	1	0	28	0	0
10	Carson Hocevar	77	Chevrolet	206	11	3	27	0	0
11	Ryan Preece	41	Ford	206	26	0	26	0	0
12	Noah Gragson	10	Ford	206	25	0	25	0	0
13	Ricky Stenhouse Jr.	47	Chevrolet	206	30	2	24	0	0
14	Harrison Burton	21	Ford	206	34	5	23	0	0
15	Chase Elliott	9	Chevrolet	206	6	29	31	9	0
16	Erik Jones	43	Toyota	206	28	0	24	3	0
17	Austin Dillon	3	Chevrolet	206	10	0	26	6	0
18	Ryan Blaney	12	Ford	206	8	15	30	11	0
19	Michael McDowell	34	Ford	206	17	0	18	0	0
20	Justin Haley	51	Ford	206	29	0	17	0	0
21	Cody Ware	15	Ford	206	36	0	18	2	0
22	Josh Berry	4	Ford	206	16	4	15	0	0
23	Daniel Hemric	10	Chevrolet	206	32	0	14	0	0
24	Martin Truex Jr.	19	Toyota	206	24	28	20	7	0
25	Ross Chastain	1	Chevrolet	205	7	4	22	10	0
26	Bubba Wallace	23	Toyota	205	5	5	18	7	0
27	Alex Bowman	48	Chevrolet	205	22	0	12	2	0
28	Austin Cindric	2	Ford	204	23	0	9	0	0
29	John Hunter Nemechek	42	Toyota	202	33	0	8	0	0
30	AJ Allmendinger	16	Chevrolet	200	35	0	0	0	0
31	Chase Briscoe	14	Ford	157	21	0	6	0	0
32	Corey LaJoie	7	Chevrolet	135	31	0	5	0	0
33	Joey Logano	22	Ford	117	14	0	4	0	0
34	Kyle Larson	5	Chevrolet	115	4	41	3	0	0
35	Christopher Bell	20	Toyota	115	3	0	2	0	0
36	Todd Gilliland	38	Ford	114	20	0	1	0	0
