POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Shane van Gisbergen	88	Chevrolet	75	1	26	40	0	0
2	Ty Gibbs	54	Toyota	75	9	0	35	0	0
3	Tyler Reddick	45	Toyota	75	4	0	51	17	0
4	Denny Hamlin	11	Toyota	75	40	0	38	5	0
5	Kyle Busch	8	Chevrolet	75	6	0	41	9	0
6	AJ Allmendinger	16	Chevrolet	75	16	2	31	0	0
7	Ryan Preece	60	Ford	75	7	0	36	6	0
8	Alex Bowman	48	Chevrolet	75	11	0	36	7	0
9	Austin Hill	33	Chevrolet	75	30	0	0	0	0
10	Ross Chastain	1	Chevrolet	75	22	0	32	5	0
11	Joey Logano	22	Ford	75	12	0	26	0	0
12	Ryan Blaney	12	Ford	75	17	3	35	10	0
13	Kyle Larson	5	Chevrolet	75	14	0	24	0	0
14	Zane Smith	38	Ford	75	26	0	26	3	0
15	John Hunter Nemechek	42	Toyota	75	25	0	29	7	0
16	Chase Elliott	9	Chevrolet	75	39	0	25	4	0
17	Riley Herbst	35	Toyota	75	21	0	20	0	0
18	Chris Buescher	17	Ford	75	8	0	19	0	0
19	Katherine Legge	78	Chevrolet	75	33	0	18	0	0
20	Ty Dillon	10	Chevrolet	75	36	0	17	0	0
21	Josh Bilicki	66	Ford	75	31	0	0	0	0
22	Justin Haley	7	Chevrolet	75	28	0	15	0	0
23	Chase Briscoe	19	Toyota	75	5	13	30	16	0
24	Christopher Bell	20	Toyota	74	13	0	14	1	0
25	Erik Jones	43	Toyota	74	34	0	14	2	0
26	Cody Ware	51	Ford	73	35	0	11	0	0
27	Austin Cindric	2	Ford	72	27	0	10	0	0
28	Bubba Wallace	23	Toyota	70	37	0	15	6	0
29	Daniel Suarez	99	Chevrolet	69	18	0	8	0	0
30	Noah Gragson	4	Ford	68	24	0	8	1	0
31	Ricky Stenhouse Jr.	47	Chevrolet	62	32	0	6	0	0
32	Michael McDowell	71	Chevrolet	53	2	31	15	10	0
33	Cole Custer	41	Ford	29	23	0	4	0	0
34	Josh Berry	21	Ford	28	29	0	3	0	0
35	Carson Hocevar	77	Chevrolet	2	3	0	2	0	0
36	Austin Dillon	3	Chevrolet	2	10	0	1	0	0
37	Brad Keselowski	6	Ford	2	15	0	1	0	0
38	Todd Gilliland	34	Ford	2	20	0	1	0	0
39	Will Brown	13	Chevrolet	2	19	0	1	0	0
40	William Byron	24	Chevrolet	1	38	0	1	0	0
