POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Chase Briscoe	19	Toyota	160	6	72	57	17	0
2	Denny Hamlin	11	Toyota	160	1	32	51	16	0
3	Ryan Blaney	12	Ford	160	20	3	37	3	0
4	Chris Buescher	17	Ford	160	2	2	48	15	0
5	Chase Elliott	9	Chevrolet	160	18	0	43	11	0
6	John Hunter Nemechek	42	Toyota	160	4	0	31	0	0
7	Kyle Larson	5	Chevrolet	160	24	0	32	2	0
8	Ryan Preece	60	Ford	160	13	0	29	0	0
9	Brad Keselowski	6	Ford	160	14	27	28	0	0
10	Austin Cindric	2	Ford	160	19	0	31	4	0
11	Alex Bowman	48	Chevrolet	160	25	15	27	1	0
12	Josh Berry	21	Ford	160	35	0	34	9	0
13	Erik Jones	43	Toyota	160	11	0	30	6	0
14	Ty Gibbs	54	Toyota	160	7	0	23	0	0
15	Daniel Suarez	99	Chevrolet	160	10	0	22	0	0
16	Joey Logano	22	Ford	160	12	5	25	4	0
17	Christopher Bell	20	Toyota	160	9	0	20	0	0
18	Carson Hocevar	77	Chevrolet	160	3	2	20	1	0
19	Justin Haley	7	Chevrolet	160	22	0	18	0	0
20	Kyle Busch	8	Chevrolet	160	26	0	17	0	0
21	AJ Allmendinger	16	Chevrolet	160	33	0	16	0	0
22	Cole Custer	41	Ford	160	5	0	15	0	0
23	Noah Gragson	4	Ford	160	17	0	14	0	0
24	Austin Dillon	3	Chevrolet	160	16	0	13	0	0
25	Zane Smith	38	Ford	160	15	0	17	5	0
26	Ross Chastain	1	Chevrolet	160	21	0	11	0	0
27	William Byron	24	Chevrolet	160	31	0	19	9	0
28	Todd Gilliland	34	Ford	160	32	0	9	0	0
29	Cody Ware	51	Ford	160	36	0	8	0	0
30	Ricky Stenhouse Jr.	47	Chevrolet	160	30	2	7	0	0
31	Shane van Gisbergen	88	Chevrolet	159	23	0	6	0	0
32	Tyler Reddick	45	Toyota	159	8	0	13	8	0
33	Ty Dillon	10	Chevrolet	140	27	0	4	0	0
34	Brennan Poole	44	Chevrolet	111	37	0	0	0	0
35	Michael McDowell	71	Chevrolet	73	28	0	2	0	0
36	Bubba Wallace	23	Toyota	54	34	0	1	0	0
37	Riley Herbst	35	Toyota	41	29	0	1	0	0
