POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Chase Elliott	9	Chevrolet	273	4	24	55	15	0	
2	Denny Hamlin	11	Toyota	273	2	159	56	21	0	
3	Christopher Bell	20	Toyota	273	5	43	50	16	0	
4	Chase Briscoe	19	Toyota	273	1	19	44	11	0	
5	Bubba Wallace	23	Toyota	273	7	13	37	5	0	
6	Kyle Larson	5	Chevrolet	273	3	1	48	17	0	
7	Tyler Reddick	45	Toyota	273	12	0	30	0	0	
8	Brad Keselowski	6	Ford	273	31	5	29	0	0	
9	William Byron	24	Chevrolet	273	11	0	28	0	0	
10	Shane van Gisbergen	88	Chevrolet	273	24	0	27	0	0	
11	Ross Chastain	1	Chevrolet	273	9	0	35	9	0	
12	Todd Gilliland	34	Ford	273	23	0	25	0	0	
13	Ty Dillon	10	Chevrolet	273	33	0	24	0	0	
14	Michael McDowell	71	Chevrolet	273	21	0	23	0	0	
15	Chris Buescher	17	Ford	273	15	0	25	3	0	
16	Erik Jones	43	Toyota	273	10	0	21	0	0	
17	Daniel Suarez	99	Chevrolet	273	30	6	20	0	0	
18	Justin Haley	7	Chevrolet	273	22	0	19	0	0	
19	Kyle Busch	8	Chevrolet	273	29	0	18	0	0	
20	Cole Custer	41	Ford	273	27	0	17	0	0	
21	Joey Logano	22	Ford	273	35	0	24	8	0	
22	Riley Herbst	35	Toyota	273	32	0	15	0	0	
23	Noah Gragson	4	Ford	273	14	0	14	0	0	
24	Ryan Blaney	12	Ford	273	37	1	15	2	0	
25	Ty Gibbs	54	Toyota	272	8	0	12	0	0	
26	Ryan Preece	60	Ford	271	19	0	11	0	0	
27	Austin Dillon	3	Chevrolet	271	16	0	10	0	0	
28	Alex Bowman	48	Chevrolet	271	17	0	10	1	0	
29	Carson Hocevar	77	Chevrolet	269	6	0	9	1	0	
30	Austin Cindric	2	Ford	269	26	0	7	0	0	
31	Zane Smith	38	Ford	266	28	0	8	2	0	
32	John Hunter Nemechek	42	Toyota	266	25	1	5	0	0	
33	Josh Berry	21	Ford	266	13	1	4	0	0	
34	J.J. Yeley	44	Chevrolet	273	36	0	0	0	0	
35	Ricky Stenhouse Jr.	47	Chevrolet	273	18	0	2	0	0	
36	AJ Allmendinger	16	Chevrolet	216	20	0	1	0	0	
37	Cody Ware	51	Ford	52	34	0	1	0	0	
