POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Christopher Bell	20	Toyota	500	9	12	40	0	0	
2	Brad Keselowski	6	Ford	500	18	33	45	10	0	
3	Zane Smith	38	Ford	500	24	5	42	8	0	
4	Ryan Blaney	12	Ford	500	2	30	52	19	0	
5	Joey Logano	22	Ford	500	22	7	32	0	0	
6	Corey Heim	67	Toyota	500	38	0	0	0	0	
7	Carson Hocevar	77	Chevrolet	500	12	26	36	6	0	
8	Alex Bowman	48	Chevrolet	500	15	5	37	8	0	
9	Chase Briscoe	19	Toyota	500	31	127	28	0	0	
10	Ty Gibbs	54	Toyota	500	4	201	46	19	0	
11	Chris Buescher	17	Ford	500	21	0	35	9	0	
12	William Byron	24	Chevrolet	500	7	0	33	8	0	
13	Justin Haley	7	Chevrolet	500	17	0	24	0	0	
14	John Hunter Nemechek	42	Toyota	499	19	0	25	2	0	
15	Tyler Reddick	45	Toyota	499	14	0	22	0	0	
16	Kyle Busch	8	Chevrolet	499	32	0	21	0	0	
17	Michael McDowell	71	Chevrolet	499	25	0	20	0	0	
18	Riley Herbst	35	Toyota	499	29	0	19	0	0	
19	Ross Chastain	1	Chevrolet	499	13	0	18	0	0	
20	Erik Jones	43	Toyota	499	27	0	17	0	0	
21	Ryan Preece	60	Ford	499	20	0	16	0	0	
22	Ricky Stenhouse Jr.	47	Chevrolet	499	11	5	16	1	0	
23	Noah Gragson	4	Ford	498	30	0	14	0	0	
24	Todd Gilliland	34	Ford	498	36	0	13	0	0	
25	Austin Hill	33	Chevrolet	497	33	0	0	0	0	
26	Shane van Gisbergen	88	Chevrolet	497	28	0	11	0	0	
27	Ty Dillon	10	Chevrolet	497	37	0	10	0	0	
28	Austin Dillon	3	Chevrolet	496	23	0	9	0	0	
29	Cody Ware	51	Ford	496	34	0	8	0	0	
30	Austin Cindric	2	Ford	496	3	10	12	5	0	
31	Denny Hamlin	11	Toyota	495	6	3	7	1	0	
32	Kyle Larson	5	Chevrolet	495	5	0	5	0	0	
33	Cole Custer	41	Ford	488	26	0	4	0	0	
34	Bubba Wallace	23	Toyota	487	8	12	13	10	0	
35	Chad Finchum	66	Ford	458	39	0	2	0	0	
36	AJ Allmendinger	16	Chevrolet	408	1	24	6	5	0	
37	Daniel Suarez	99	Chevrolet	364	35	0	1	0	0	
38	Chase Elliott	9	Chevrolet	311	16	0	1	0	0	
39	Josh Berry	21	Ford	75	10	0	1	0	0	
