POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Austin Dillon	3	Chevrolet	408	6	35	50	10	25
2	Denny Hamlin	11	Toyota	408	1	124	52	17	0
3	Tyler Reddick	45	Toyota	408	10	8	40	6	0
4	Bubba Wallace	23	Toyota	408	8	0	42	9	0
5	Ross Chastain	1	Chevrolet	408	22	0	32	0	0
6	Christopher Bell	20	Toyota	408	5	122	50	19	0
7	Kyle Larson	5	Chevrolet	408	15	17	30	0	0
8	Carson Hocevar	77	Chevrolet	408	19	2	31	2	0
9	Chase Elliott	9	Chevrolet	408	4	5	34	6	0
10	Daniel Suarez	99	Chevrolet	408	21	93	37	10	0
11	Ryan Blaney	12	Ford	408	11	0	26	0	0
12	Kyle Busch	8	Chevrolet	408	12	0	25	0	0
13	William Byron	24	Chevrolet	408	13	0	24	0	0
14	Josh Berry	4	Ford	408	3	0	24	1	0
15	Michael McDowell	34	Ford	408	28	0	27	5	0
16	Brad Keselowski	6	Ford	408	29	0	21	0	0
17	Todd Gilliland	38	Ford	408	23	0	20	0	0
18	Chris Buescher	17	Ford	408	7	0	22	3	0
19	Joey Logano	22	Ford	408	9	2	32	14	0
20	Noah Gragson	10	Ford	407	16	0	17	0	0
21	Chase Briscoe	14	Ford	407	25	0	16	0	0
22	Ty Gibbs	54	Toyota	407	14	0	15	0	0
23	Zane Smith	71	Chevrolet	407	20	0	14	0	0
24	Austin Cindric	2	Ford	407	18	0	13	0	0
25	Ryan Preece	41	Ford	407	26	0	12	0	0
26	Ty Dillon	16	Chevrolet	407	30	0	0	0	0
27	Justin Haley	51	Ford	406	36	0	10	0	0
28	Alex Bowman	48	Chevrolet	406	17	0	9	0	0
29	Erik Jones	43	Toyota	406	27	0	8	0	0
30	Daniel Hemric	10	Chevrolet	406	32	0	7	0	0
31	John Hunter Nemechek	42	Toyota	405	35	0	6	0	0
32	Harrison Burton	21	Ford	405	31	0	5	0	0
33	Riley Herbst	15	Ford	405	34	0	0	0	0
34	Corey LaJoie	7	Chevrolet	404	24	0	3	0	0
35	Parker Retzlaff	66	Ford	402	37	0	0	0	0
36	Ricky Stenhouse Jr.	47	Chevrolet	397	33	0	1	0	0
37	Martin Truex Jr.	19	Toyota	250	2	0	9	8	0
