POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	240	1	75	53	13	0	
2	Chase Briscoe	19	Toyota	240	3	15	45	10	0	
3	Chase Elliott	9	Chevrolet	240	19	4	38	4	0	
4	Ryan Blaney	12	Ford	240	5	5	39	6	0	
5	Joey Logano	22	Ford	240	13	2	40	8	0	
6	John Hunter Nemechek	42	Toyota	240	20	0	33	2	0	
7	Christopher Bell	20	Toyota	240	8	0	40	10	0	
8	Bubba Wallace	23	Toyota	240	14	73	44	15	0	
9	Chris Buescher	17	Ford	240	11	0	28	0	0	
10	Ty Gibbs	54	Toyota	240	21	1	27	0	0	
11	William Byron	24	Chevrolet	240	6	0	33	7	0	
12	Kyle Larson	5	Chevrolet	240	2	52	41	16	0	
13	Ryan Preece	60	Ford	240	32	0	24	0	0	
14	Michael McDowell	71	Chevrolet	240	28	0	23	0	0	
15	Carson Hocevar	77	Chevrolet	240	27	0	22	0	0	
16	Tyler Reddick	45	Toyota	240	7	0	21	0	0	
17	Brad Keselowski	6	Ford	240	23	13	29	9	0	
18	Austin Dillon	3	Chevrolet	240	15	0	24	5	0	
19	Austin Cindric	2	Ford	240	9	0	18	0	0	
20	Ricky Stenhouse Jr.	47	Chevrolet	240	34	0	17	0	0	
21	Erik Jones	43	Toyota	240	16	0	16	0	0	
22	Kyle Busch	8	Chevrolet	240	22	0	15	0	0	
23	AJ Allmendinger	16	Chevrolet	240	17	0	14	0	0	
24	Ross Chastain	1	Chevrolet	240	4	0	17	4	0	
25	Shane van Gisbergen	88	Chevrolet	240	18	0	12	0	0	
26	Alex Bowman	48	Chevrolet	240	25	0	11	0	0	
27	Cole Custer	41	Ford	240	29	0	10	0	0	
28	Justin Haley	7	Chevrolet	240	31	0	9	0	0	
29	Cody Ware	51	Ford	240	36	0	8	0	0	
30	Noah Gragson	4	Ford	239	24	0	7	0	0	
31	Riley Herbst	35	Toyota	239	33	0	6	0	0	
32	Todd Gilliland	34	Ford	239	30	0	5	0	0	
33	Zane Smith	38	Ford	239	10	0	6	2	0	
34	Ty Dillon	10	Chevrolet	207	35	0	3	0	0	
35	Daniel Suarez	99	Chevrolet	64	26	0	2	0	0	
36	Josh Berry	21	Ford	35	12	0	1	0	0	
