POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Joey Logano	22	Ford	266	7	9	47	7	0
2	Daniel Suarez	99	Chevrolet	266	30	9	42	7	0
3	Ryan Blaney	12	Ford	266	2	33	53	19	0
4	Christopher Bell	20	Toyota	266	26	0	34	1	0
5	Alex Bowman	48	Chevrolet	266	11	5	48	16	0
6	Tyler Reddick	45	Toyota	266	23	0	31	0	0
7	Kyle Busch	8	Chevrolet	266	15	24	30	0	0
8	Chase Elliott	9	Chevrolet	266	16	0	36	7	0
9	William Byron	24	Chevrolet	266	9	2	37	9	0
10	Austin Cindric	2	Ford	266	5	92	46	19	0
11	Daniel Hemric	10	Chevrolet	266	14	0	26	0	0
12	Justin Haley	51	Ford	266	29	0	25	0	0
13	Ross Chastain	1	Chevrolet	266	18	13	33	9	0
14	Ricky Stenhouse Jr.	47	Chevrolet	266	27	0	34	11	0
15	Corey LaJoie	7	Chevrolet	266	25	0	22	0	0
16	Carson Hocevar	77	Chevrolet	266	32	1	21	0	0
17	Ty Gibbs	54	Toyota	266	20	37	23	3	0
18	Ryan Preece	41	Ford	266	21	2	19	0	0
19	Brad Keselowski	6	Ford	266	19	0	18	0	0
20	Austin Dillon	3	Chevrolet	266	8	0	17	0	0
21	Zane Smith	71	Chevrolet	266	34	0	16	0	0
22	Michael McDowell	34	Ford	266	1	30	15	0	0
23	J.J. Yeley	44	Chevrolet	266	37	0	0	0	0
24	Denny Hamlin	11	Toyota	266	38	0	13	0	0
25	B.J. McLeod	78	Chevrolet	266	36	1	0	0	0
26	Erik Jones	43	Toyota	266	33	0	11	0	0
27	Todd Gilliland	38	Ford	266	3	0	10	0	0
28	Josh Berry	4	Ford	266	4	0	9	0	0
29	Bubba Wallace	23	Toyota	266	24	8	8	0	0
30	Cody Ware	15	Ford	266	31	0	7	0	0
31	Harrison Burton	21	Ford	265	12	0	6	0	0
32	Shane van Gisbergen	16	Chevrolet	264	28	0	0	0	0
33	John Hunter Nemechek	42	Toyota	262	35	0	4	0	0
34	Noah Gragson	10	Ford	258	13	0	3	0	0
35	Martin Truex Jr.	19	Toyota	254	22	0	4	2	0
36	Chris Buescher	17	Ford	205	17	0	1	0	0
37	Kyle Larson	5	Chevrolet	55	6	0	1	0	0
38	Chase Briscoe	14	Ford	55	10	0	1	0	0
