POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Chase Briscoe	14	Ford	367	3	29	57	17	0
2	Kyle Busch	8	Chevrolet	367	17	0	35	0	0
3	Christopher Bell	20	Toyota	367	9	1	46	12	0
4	Kyle Larson	5	Chevrolet	367	4	263	53	20	0
5	Ross Chastain	1	Chevrolet	367	22	3	32	0	0
6	Chris Buescher	17	Ford	367	10	0	32	1	0
7	Denny Hamlin	11	Toyota	367	14	21	43	13	0
8	Joey Logano	22	Ford	367	23	0	29	0	0
9	Corey LaJoie	7	Chevrolet	367	19	0	28	0	0
10	Tyler Reddick	45	Toyota	367	6	1	37	10	0
11	Chase Elliott	9	Chevrolet	367	20	0	26	0	0
12	Ryan Preece	41	Ford	367	30	0	25	0	0
13	Austin Cindric	2	Ford	367	11	0	24	0	0
14	Brad Keselowski	6	Ford	367	12	0	24	1	0
15	Austin Dillon	3	Chevrolet	367	16	0	22	0	0
16	Bubba Wallace	23	Toyota	367	1	37	32	11	0
17	Todd Gilliland	38	Ford	367	33	0	20	0	0
18	Daniel Suarez	99	Chevrolet	366	32	0	19	0	0
19	Alex Bowman	48	Chevrolet	366	27	0	18	0	0
20	Ty Gibbs	54	Toyota	366	13	1	26	9	0
21	Harrison Burton	21	Ford	365	24	0	16	0	0
22	Ricky Stenhouse Jr.	47	Chevrolet	365	36	0	15	0	0
23	Zane Smith	71	Chevrolet	364	26	0	14	0	0
24	Erik Jones	43	Toyota	364	28	0	13	0	0
25	John Hunter Nemechek	42	Toyota	364	18	0	12	0	0
26	Shane van Gisbergen	16	Chevrolet	364	34	4	0	0	0
27	Justin Haley	51	Ford	363	21	0	10	0	0
28	Michael McDowell	34	Ford	363	31	0	9	0	0
29	Daniel Hemric	10	Chevrolet	362	25	0	8	0	0
30	William Byron	24	Chevrolet	344	8	2	17	10	0
31	Josh Berry	4	Ford	343	15	5	12	6	0
32	Noah Gragson	10	Ford	343	29	0	5	0	0
33	Carson Hocevar	77	Chevrolet	335	2	0	4	0	0
34	Kaz Grala	15	Ford	332	35	0	3	0	0
35	Timmy Hill	66	Ford	278	37	0	0	0	0
36	Martin Truex Jr.	19	Toyota	2	5	0	1	0	0
37	Ryan Blaney	12	Ford	2	7	0	1	0	0
