POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Bubba Wallace	23	Toyota	168	2	23	50	10	0	
2	Kyle Larson	5	Chevrolet	168	13	19	47	12	0	
3	Denny Hamlin	11	Toyota	168	39	1	43	9	0	
4	Ryan Preece	60	Ford	168	23	12	33	0	0	
5	Brad Keselowski	6	Ford	168	14	0	38	6	0	
6	Todd Gilliland	34	Ford	168	19	0	31	0	0	
7	Ryan Blaney	12	Ford	168	24	14	40	10	0	
8	Christopher Bell	20	Toyota	168	16	0	29	0	0	
9	Alex Bowman	48	Chevrolet	168	21	2	33	5	0	
10	Carson Hocevar	77	Chevrolet	168	8	0	35	8	0	
11	Justin Haley	7	Chevrolet	168	28	15	26	0	0	
12	John Hunter Nemechek	42	Toyota	168	36	1	25	0	0	
13	Chase Elliott	9	Chevrolet	168	30	0	24	0	0	
14	Chris Buescher	17	Ford	168	7	0	31	8	0	
15	Austin Cindric	2	Ford	168	10	40	22	0	0	
16	William Byron	24	Chevrolet	168	6	0	36	15	0	
17	Katherine Legge	78	Chevrolet	168	38	0	20	0	0	
18	Chase Briscoe	19	Toyota	168	1	34	29	10	0	
19	Shane van Gisbergen	88	Chevrolet	168	11	0	18	0	0	
20	Cole Custer	41	Ford	168	29	0	17	0	0	
21	Ty Gibbs	54	Toyota	168	5	0	16	0	0	
22	Josh Berry	21	Ford	168	17	0	15	0	0	
23	AJ Allmendinger	16	Chevrolet	167	9	0	15	1	0	
24	Jesse Love	62	Chevrolet	167	35	0	13	0	0	
25	Kyle Busch	8	Chevrolet	166	12	0	17	5	0	
26	Riley Herbst	35	Toyota	166	25	0	11	0	0	
27	Daniel Suarez	99	Chevrolet	165	31	0	10	0	0	
28	Ty Dillon	10	Chevrolet	165	26	0	9	0	0	
29	Tyler Reddick	45	Toyota	163	4	0	15	7	0	
30	Michael McDowell	71	Chevrolet	162	22	0	7	0	0	
31	Zane Smith	38	Ford	161	27	0	6	0	0	
32	Joey Logano	22	Ford	160	15	0	8	3	0	
33	Noah Gragson	4	Ford	153	18	0	4	0	0	
34	Josh Bilicki	66	Ford	125	37	0	0	0	0	
35	Ricky Stenhouse Jr.	47	Chevrolet	101	32	0	2	0	0	
36	Erik Jones	43	Toyota	89	3	0	1	0	0	
37	Cody Ware	51	Ford	58	34	0	1	0	0	
38	Austin Dillon	3	Chevrolet	56	20	0	3	2	0	
39	Ross Chastain	1	Chevrolet	17	33	0	1	0	0	
