POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	500	3	411	60	20	0
2	Denny Hamlin	11	Toyota	500	4	0	50	15	0
3	Ty Gibbs	54	Toyota	500	6	0	40	6	0
4	Chase Briscoe	19	Toyota	500	14	0	35	2	0
5	Ryan Blaney	12	Ford	500	5	48	39	7	0
6	William Byron	24	Chevrolet	500	26	0	31	0	0
7	Ross Chastain	1	Chevrolet	500	35	0	30	0	0
8	Christopher Bell	20	Toyota	500	7	0	42	13	0
9	AJ Allmendinger	16	Chevrolet	499	8	0	30	2	0
10	Austin Dillon	3	Chevrolet	499	17	0	27	0	0
11	Carson Hocevar	77	Chevrolet	499	9	2	39	13	0
12	Josh Berry	21	Ford	499	11	0	25	0	0
13	Justin Haley	7	Chevrolet	499	10	0	37	13	0
14	Kyle Busch	8	Chevrolet	499	15	0	23	0	0
15	Chase Elliott	9	Chevrolet	499	20	0	22	0	0
16	Brad Keselowski	6	Ford	498	16	0	21	0	0
17	Austin Cindric	2	Ford	498	21	0	20	0	0
18	Tyler Reddick	45	Toyota	498	27	0	20	1	0
19	Bubba Wallace	23	Toyota	498	22	0	18	0	0
20	Ryan Preece	60	Ford	498	29	0	17	0	0
21	John Hunter Nemechek	42	Toyota	498	32	0	16	0	0
22	Ricky Stenhouse Jr.	47	Chevrolet	498	2	0	18	3	0
23	Noah Gragson	4	Ford	498	31	0	14	0	0
24	Joey Logano	22	Ford	497	38	0	13	0	0
25	Chris Buescher	17	Ford	497	24	0	12	0	0
26	Erik Jones	43	Toyota	497	28	0	11	0	0
27	Zane Smith	38	Ford	497	18	0	10	0	0
28	Riley Herbst	35	Toyota	496	25	0	9	0	0
29	Cole Custer	41	Ford	495	33	0	8	0	0
30	Michael McDowell	71	Chevrolet	495	13	0	7	0	0
31	Jesse Love	33	Chevrolet	495	19	0	0	0	0
32	Ty Dillon	10	Chevrolet	494	12	0	5	0	0
33	Daniel Suarez	99	Chevrolet	494	23	0	4	0	0
34	Corey LaJoie	01	Ford	494	37	0	3	0	0
35	Todd Gilliland	34	Ford	493	30	0	2	0	0
36	Cody Ware	51	Ford	493	34	0	1	0	0
37	Alex Bowman	48	Chevrolet	343	1	39	17	16	0
38	Shane van Gisbergen	88	Chevrolet	208	36	0	1	0	0
39	Josh Bilicki	66	Ford	193	39	0	0	0	0
