POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Austin Dillon	3	Chevrolet	400	11	107	54	14	0	
2	Alex Bowman	48	Chevrolet	400	9	0	41	6	0	
3	Ryan Blaney	12	Ford	400	20	39	46	12	0	
4	Joey Logano	22	Ford	400	38	0	33	0	0	
5	Austin Cindric	2	Ford	400	13	2	41	9	0	
6	Kyle Larson	5	Chevrolet	400	30	9	32	1	0	
7	Daniel Suarez	99	Chevrolet	400	21	1	40	10	0	
8	Josh Berry	21	Ford	400	17	0	31	2	0	
9	Brad Keselowski	6	Ford	400	6	2	31	3	0	
10	Denny Hamlin	11	Toyota	400	4	0	35	8	0	
11	Zane Smith	38	Ford	400	29	0	26	0	0	
12	William Byron	24	Chevrolet	400	14	0	27	2	0	
13	Chase Briscoe	19	Toyota	400	19	0	24	0	0	
14	Shane van Gisbergen	88	Chevrolet	399	27	0	23	0	0	
15	Carson Hocevar	77	Chevrolet	399	15	10	26	4	0	
16	Kyle Busch	8	Chevrolet	399	28	0	21	0	0	
17	Michael McDowell	71	Chevrolet	399	10	6	20	0	0	
18	Ty Gibbs	54	Toyota	399	23	0	19	0	0	
19	Ross Chastain	1	Chevrolet	399	33	0	18	0	0	
20	Ty Dillon	10	Chevrolet	399	16	0	17	0	0	
21	Christopher Bell	20	Toyota	399	8	0	21	5	0	
22	AJ Allmendinger	16	Chevrolet	399	3	0	15	0	0	
23	Ricky Stenhouse Jr.	47	Chevrolet	399	36	0	14	0	0	
24	Cole Custer	41	Ford	399	24	0	13	0	0	
25	Todd Gilliland	34	Ford	399	31	0	12	0	0	
26	Erik Jones	43	Toyota	398	18	0	11	0	0	
27	Noah Gragson	4	Ford	398	22	0	10	0	0	
28	Bubba Wallace	23	Toyota	398	7	123	29	20	0	
29	Corey Heim	67	Toyota	398	32	0	0	0	0	
30	Chris Buescher	17	Ford	398	12	0	7	0	0	
31	Riley Herbst	35	Toyota	398	26	0	6	0	0	
32	Cody Ware	51	Ford	397	37	0	5	0	0	
33	Jesse Love	33	Chevrolet	396	35	0	0	0	0	
34	Tyler Reddick	45	Toyota	396	2	41	13	10	0	
35	Ryan Preece	60	Ford	396	1	60	7	5	0	
36	John Hunter Nemechek	42	Toyota	389	34	0	1	0	0	
37	Justin Haley	7	Chevrolet	198	25	0	1	0	0	
38	Chase Elliott	9	Chevrolet	197	5	0	1	0	0	
