POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Tyler Reddick	45	Toyota	267	1	97	57	17	0
2	Ryan Blaney	12	Ford	267	20	47	48	13	0
3	Denny Hamlin	11	Toyota	267	4	21	48	14	0
4	Christopher Bell	20	Toyota	267	3	3	46	13	0
5	Chase Elliott	9	Chevrolet	267	7	81	49	17	0
6	William Byron	24	Chevrolet	267	25	0	39	8	0
7	Alex Bowman	48	Chevrolet	267	11	0	32	2	0
8	AJ Allmendinger	16	Chevrolet	267	32	0	0	0	0
9	Carson Hocevar	77	Chevrolet	267	15	0	37	9	0
10	Ryan Preece	41	Ford	267	35	0	29	2	0
11	Josh Berry	4	Ford	267	12	0	26	0	0
12	Chase Briscoe	14	Ford	267	13	0	25	0	0
13	Kyle Larson	5	Chevrolet	267	2	1	24	0	0
14	Michael McDowell	34	Ford	267	24	0	23	0	0
15	Chris Buescher	17	Ford	267	21	0	22	0	0
16	Daniel Suarez	99	Chevrolet	267	23	0	21	0	0
17	Brad Keselowski	6	Ford	267	18	8	20	0	0
18	Bubba Wallace	23	Toyota	267	8	2	28	9	0
19	Noah Gragson	10	Ford	267	16	0	18	0	0
20	Todd Gilliland	38	Ford	267	31	1	17	0	0
21	Ricky Stenhouse Jr.	47	Chevrolet	267	5	0	16	0	0
22	Erik Jones	43	Toyota	267	28	0	15	0	0
23	Martin Truex Jr.	19	Toyota	267	6	0	19	5	0
24	Harrison Burton	21	Ford	267	34	0	13	0	0
25	Austin Dillon	3	Chevrolet	267	30	0	12	0	0
26	John Hunter Nemechek	42	Toyota	267	29	0	11	0	0
27	Austin Cindric	2	Ford	267	36	0	10	0	0
28	Joey Logano	22	Ford	267	26	0	9	0	0
29	Daniel Hemric	10	Chevrolet	267	9	0	8	0	0
30	Zane Smith	71	Chevrolet	267	19	0	7	0	0
31	Kyle Busch	8	Chevrolet	267	17	5	6	0	0
32	Kaz Grala	15	Ford	267	27	0	5	0	0
33	Ross Chastain	1	Chevrolet	267	22	0	4	0	0
34	Justin Haley	7	Chevrolet	266	10	1	3	0	0
35	Corey LaJoie	51	Ford	266	33	0	2	0	0
36	Ty Gibbs	54	Toyota	261	14	0	1	0	0
37	Chad Finchum	66	Ford	258	38	0	0	0	0
38	J.J. Yeley	44	Chevrolet	223	37	0	0	0	0
