POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Denny Hamlin	11	Toyota	400	5	274	53	13	0
2	Christopher Bell	20	Toyota	400	1	25	38	3	0
3	Bubba Wallace	23	Toyota	400	8	0	42	8	0
4	Chase Elliott	9	Chevrolet	400	2	42	45	12	0
5	Kyle Larson	5	Chevrolet	400	4	0	34	2	0
6	Ross Chastain	1	Chevrolet	400	17	0	35	4	0
7	Ryan Preece	60	Ford	400	21	0	34	4	0
8	Joey Logano	22	Ford	400	7	13	39	10	0
9	Chase Briscoe	19	Toyota	400	11	0	34	6	0
10	Todd Gilliland	34	Ford	400	25	0	27	0	0
11	Ryan Blaney	12	Ford	400	32	0	31	5	0
12	Michael McDowell	71	Chevrolet	400	15	0	25	0	0
13	Ty Gibbs	54	Toyota	400	13	0	31	7	0
14	Tyler Reddick	45	Toyota	400	9	0	24	1	0
15	Ty Dillon	10	Chevrolet	400	28	0	22	0	0
16	Zane Smith	38	Ford	400	19	0	21	0	0
17	Kyle Busch	8	Chevrolet	400	12	0	20	0	0
18	Austin Dillon	3	Chevrolet	400	18	0	19	0	0
19	Carson Hocevar	77	Chevrolet	400	29	0	18	0	0
20	Ricky Stenhouse Jr.	47	Chevrolet	400	34	0	17	0	0
21	Daniel Suarez	99	Chevrolet	400	26	0	16	0	0
22	William Byron	24	Chevrolet	400	10	0	15	0	0
23	AJ Allmendinger	16	Chevrolet	399	23	0	22	8	0
24	Erik Jones	43	Toyota	399	31	0	19	6	0
25	Chris Buescher	17	Ford	399	6	0	12	0	0
26	John Hunter Nemechek	42	Toyota	399	16	0	16	5	0
27	Brad Keselowski	6	Ford	399	27	0	17	7	0
28	Alex Bowman	48	Chevrolet	399	3	6	18	9	0
29	Justin Haley	7	Chevrolet	398	30	0	8	0	0
30	Noah Gragson	4	Ford	397	24	0	7	0	0
31	Cody Ware	51	Ford	396	36	0	6	0	0
32	Riley Herbst	35	Toyota	396	35	0	5	0	0
33	Josh Berry	21	Ford	396	14	40	4	0	0
34	Cole Custer	41	Ford	394	22	0	4	1	0
35	Shane van Gisbergen	88	Chevrolet	394	33	0	2	0	0
36	Casey Mears	66	Ford	389	37	0	1	0	0
37	Burt Myers	50	Chevrolet	388	38	0	1	0	0
38	Austin Cindric	2	Ford	363	20	0	1	0	0
