POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Christopher Bell	20	Toyota	95	19	0	0	0	0
2	William Byron	24	Chevrolet	95	15	0	0	0	0
3	Tyler Reddick	45	Toyota	95	1	0	0	0	0
4	Chase Elliott	9	Chevrolet	95	3	0	0	0	0
5	Kyle Busch	8	Chevrolet	95	8	0	0	0	0
6	Shane van Gisbergen	88	Chevrolet	95	6	0	0	0	0
7	Chris Buescher	17	Ford	95	24	0	0	0	0
8	Noah Gragson	4	Ford	95	17	0	0	0	0
9	Alex Bowman	48	Chevrolet	95	21	0	0	0	0
10	Todd Gilliland	34	Ford	95	10	0	0	0	0
11	Michael McDowell	71	Chevrolet	95	16	0	0	0	0
12	Ross Chastain	1	Chevrolet	95	9	0	0	0	0
13	Carson Hocevar	77	Chevrolet	95	4	0	0	0	0
14	Chase Briscoe	19	Toyota	95	18	0	0	0	0
15	Brad Keselowski	6	Ford	95	26	0	0	0	0
16	Justin Haley	7	Chevrolet	95	29	0	0	0	0
17	Riley Herbst	35	Toyota	95	31	0	0	0	0
18	Ricky Stenhouse Jr.	47	Chevrolet	95	22	0	0	0	0
19	Ryan Blaney	12	Ford	95	25	0	0	0	0
20	Bubba Wallace	23	Toyota	95	2	0	0	0	0
21	Denny Hamlin	11	Toyota	95	11	0	0	0	0
22	John Hunter Nemechek	42	Toyota	95	33	0	0	0	0
23	Cole Custer	41	Ford	95	30	0	0	0	0
24	Joey Logano	22	Ford	95	23	0	0	0	0
25	Austin Cindric	2	Ford	95	36	0	0	0	0
26	Josh Berry	21	Ford	95	35	0	0	0	0
27	Erik Jones	43	Toyota	95	32	0	0	0	0
28	Ty Dillon	10	Chevrolet	95	34	0	0	0	0
29	Zane Smith	38	Ford	95	20	0	0	0	0
30	AJ Allmendinger	16	Chevrolet	95	12	0	0	0	0
31	Cody Ware	51	Ford	95	37	0	0	0	0
32	Kyle Larson	5	Chevrolet	95	7	0	0	0	0
33	Ryan Preece	60	Ford	95	28	0	0	0	0
34	Ty Gibbs	54	Toyota	95	13	0	0	0	0
35	Austin Dillon	3	Chevrolet	95	27	0	0	0	0
36	Daniel Suarez	99	Chevrolet	95	5	0	0	0	0
37	Connor Zilisch	87	Chevrolet	95	14	0	0	0	0
