POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	407	13	67	57	17	0	
2	Chase Briscoe	19	Toyota	407	2	13	44	9	0	
3	Alex Bowman	48	Chevrolet	407	16	1	49	15	0	
4	Kyle Larson	5	Chevrolet	407	25	0	40	7	0	
5	Ty Gibbs	54	Toyota	407	9	1	39	7	0	
6	Chase Elliott	9	Chevrolet	407	1	238	48	17	0	
7	Bubba Wallace	23	Toyota	407	22	3	31	1	0	
8	Ryan Blaney	12	Ford	407	31	0	31	2	0	
9	Chris Buescher	17	Ford	407	12	0	28	0	0	
10	Brad Keselowski	6	Ford	407	15	0	27	0	0	
11	Kyle Busch	8	Chevrolet	407	10	0	29	3	0	
12	Tyler Reddick	45	Toyota	407	4	0	25	0	0	
13	Michael McDowell	71	Chevrolet	407	7	0	24	0	0	
14	Joey Logano	22	Ford	407	8	0	25	2	0	
15	Austin Dillon	3	Chevrolet	407	23	0	22	0	0	
16	Austin Cindric	2	Ford	407	26	0	21	0	0	
17	Justin Haley	7	Chevrolet	407	20	0	20	0	0	
18	Christopher Bell	20	Toyota	407	3	67	38	19	0	
19	Ryan Preece	60	Ford	407	11	0	18	0	0	
20	Ty Dillon	10	Chevrolet	407	21	0	17	0	0	
21	John Hunter Nemechek	42	Toyota	406	28	0	16	0	0	
22	Zane Smith	38	Ford	406	30	0	15	0	0	
23	Ricky Stenhouse Jr.	47	Chevrolet	405	34	0	14	0	0	
24	Riley Herbst	35	Toyota	405	32	0	13	0	0	
25	Todd Gilliland	34	Ford	405	24	0	12	0	0	
26	Daniel Suarez	99	Chevrolet	404	18	6	11	0	0	
27	Erik Jones	43	Toyota	404	27	0	10	0	0	
28	Josh Berry	21	Ford	404	14	0	9	0	0	
29	Cole Custer	41	Ford	403	29	0	8	0	0	
30	Shane van Gisbergen	88	Chevrolet	400	6	0	7	0	0	
31	William Byron	24	Chevrolet	393	5	0	18	12	0	
32	Noah Gragson	4	Ford	393	36	3	5	0	0	
33	Ross Chastain	1	Chevrolet	382	19	0	4	0	0	
34	J.J. Yeley	44	Chevrolet	369	37	0	0	0	0	
35	Carson Hocevar	77	Chevrolet	302	33	8	2	0	0	
36	Cody Ware	51	Ford	232	35	0	1	0	0	
37	AJ Allmendinger	16	Chevrolet	221	17	0	1	0	0	
