POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Ryan Blaney	12	Ford	300	15	139	54	14	0	
2	Carson Hocevar	77	Chevrolet	300	26	0	39	4	0	
3	Denny Hamlin	11	Toyota	300	2	79	53	19	0	
4	Joey Logano	22	Ford	300	9	10	42	9	0	
5	William Byron	24	Chevrolet	300	3	1	48	16	0	
6	Bubba Wallace	23	Toyota	300	12	0	31	0	0	
7	Erik Jones	43	Toyota	300	14	0	36	6	0	
8	Kyle Larson	5	Chevrolet	300	28	0	29	0	0	
9	Tyler Reddick	45	Toyota	300	4	7	37	9	0	
10	Christopher Bell	20	Toyota	300	7	0	34	7	0	
11	Ross Chastain	1	Chevrolet	300	5	0	27	1	0	
12	Kyle Busch	8	Chevrolet	300	25	0	25	0	0	
13	Zane Smith	38	Ford	300	27	0	27	3	0	
14	Chris Buescher	17	Ford	300	10	0	23	0	0	
15	Chase Elliott	9	Chevrolet	300	11	0	27	5	0	
16	Daniel Suarez	99	Chevrolet	300	32	0	21	0	0	
17	Chase Briscoe	19	Toyota	300	1	51	28	8	0	
18	Austin Cindric	2	Ford	300	16	2	24	5	0	
19	Cole Custer	41	Ford	300	29	0	18	0	0	
20	AJ Allmendinger	16	Chevrolet	300	17	0	17	0	0	
21	Michael McDowell	71	Chevrolet	300	8	0	19	3	0	
22	Todd Gilliland	34	Ford	300	35	0	15	0	0	
23	Brad Keselowski	6	Ford	300	6	3	14	0	0	
24	Riley Herbst	35	Toyota	300	37	0	13	0	0	
25	Shane van Gisbergen	88	Chevrolet	300	23	0	12	0	0	
26	Ty Dillon	10	Chevrolet	299	31	0	11	0	0	
27	John Hunter Nemechek	42	Toyota	299	36	0	10	0	0	
28	Ryan Preece	60	Ford	299	19	0	9	0	0	
29	Austin Dillon	3	Chevrolet	299	21	8	8	0	0	
30	Josh Berry	21	Ford	299	20	0	9	2	0	
31	Ty Gibbs	54	Toyota	299	22	0	6	0	0	
32	Justin Haley	7	Chevrolet	299	18	0	5	0	0	
33	Cody Ware	51	Ford	297	34	0	4	0	0	
34	J.J. Yeley	44	Chevrolet	297	38	0	3	0	0	
35	Chad Finchum	66	Ford	288	39	0	2	0	0	
36	Alex Bowman	48	Chevrolet	188	24	0	1	0	0	
37	Corey Heim	67	Toyota	130	33	0	0	0	0	
38	Noah Gragson	4	Ford	112	30	0	1	0	0	
39	Ricky Stenhouse Jr.	47	Chevrolet	110	13	0	1	0	0	
