POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Joey Logano	22	Ford	267	10	6	49	9	0
2	Christopher Bell	20	Toyota	267	1	155	54	19	0
3	Daniel Suarez	99	Chevrolet	267	23	57	37	3	0
4	William Byron	24	Chevrolet	267	9	1	48	15	0
5	Alex Bowman	48	Chevrolet	267	3	0	37	5	0
6	Martin Truex Jr.	19	Toyota	267	12	7	48	17	0
7	Ross Chastain	1	Chevrolet	267	7	0	30	0	0
8	Denny Hamlin	11	Toyota	267	4	4	29	0	0
9	John Hunter Nemechek	42	Toyota	267	26	0	28	0	0
10	Chris Buescher	17	Ford	267	22	0	38	11	0
11	Kyle Larson	5	Chevrolet	267	5	1	27	1	0
12	Bubba Wallace	23	Toyota	267	19	0	27	2	0
13	Kyle Busch	8	Chevrolet	267	20	0	24	0	0
14	Corey LaJoie	51	Ford	267	35	0	23	0	0
15	Harrison Burton	21	Ford	267	31	0	22	0	0
16	Zane Smith	71	Chevrolet	267	14	0	21	0	0
17	Justin Haley	7	Chevrolet	267	16	0	24	4	0
18	Noah Gragson	10	Ford	267	21	0	19	0	0
19	Daniel Hemric	10	Chevrolet	267	33	0	18	0	0
20	Michael McDowell	34	Ford	267	15	0	17	0	0
21	Cody Ware	15	Ford	267	36	0	16	0	0
22	Ryan Preece	41	Ford	266	32	0	16	1	0
23	Carson Hocevar	77	Chevrolet	266	6	0	14	0	0
24	Josh Berry	4	Ford	266	28	0	13	0	0
25	Erik Jones	43	Toyota	266	27	0	12	0	0
26	Chase Briscoe	14	Ford	266	24	0	11	0	0
27	Ricky Stenhouse Jr.	47	Chevrolet	266	25	0	10	0	0
28	Jimmie Johnson	84	Toyota	265	29	0	9	0	0
29	Shane van Gisbergen	16	Chevrolet	265	34	0	0	0	0
30	Ty Gibbs	54	Toyota	264	8	23	12	5	0
31	Todd Gilliland	38	Ford	263	30	0	6	0	0
32	Ryan Blaney	12	Ford	259	37	4	5	0	0
33	Chase Elliott	9	Chevrolet	230	18	0	4	0	0
34	Austin Cindric	2	Ford	96	11	0	5	2	0
35	Tyler Reddick	45	Toyota	89	2	9	12	10	0
36	Brad Keselowski	6	Ford	89	17	0	7	6	0
37	Austin Dillon	3	Chevrolet	61	13	0	1	0	0
