POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Christopher Bell	20	Toyota	500	20	150	51	11	0
2	Kyle Larson	5	Chevrolet	500	1	68	50	15	0
3	Ryan Blaney	12	Ford	500	4	0	43	9	0
4	Ross Chastain	1	Chevrolet	500	9	0	39	6	0
5	Denny Hamlin	11	Toyota	500	11	203	52	20	0
6	Joey Logano	22	Ford	500	12	0	35	4	0
7	William Byron	24	Chevrolet	500	25	0	30	0	0
8	Bubba Wallace	45	Toyota	500	24	0	30	1	0
9	Chase Briscoe	14	Ford	500	3	25	34	6	0
10	Chase Elliott	9	Chevrolet	500	2	54	45	18	0
11	Harrison Burton	21	Ford	500	10	0	26	0	0
12	Daniel Suarez	99	Chevrolet	500	7	0	29	4	0
13	Todd Gilliland	38	Ford	500	19	0	24	0	0
14	Cole Custer	41	Ford	500	5	0	38	15	0
15	Aric Almirola	10	Ford	500	15	0	23	1	0
16	Kevin Harvick	4	Ford	500	8	0	21	0	0
17	Michael McDowell	34	Ford	500	13	0	20	0	0
18	Erik Jones	43	Chevrolet	498	23	0	19	0	0
19	Ty Gibbs	23	Toyota	498	26	0	0	0	0
20	Martin Truex Jr.	19	Toyota	498	27	0	17	0	0
21	Corey LaJoie	7	Chevrolet	498	14	0	16	0	0
22	Ricky Stenhouse Jr.	47	Chevrolet	498	31	0	15	0	0
23	AJ Allmendinger	16	Chevrolet	498	21	0	0	0	0
24	Chris Buescher	17	Ford	497	22	0	13	0	0
25	Noah Gragson	48	Chevrolet	497	17	0	0	0	0
26	Austin Cindric	2	Ford	497	30	0	11	0	0
27	Justin Haley	31	Chevrolet	497	29	0	10	0	0
28	Cody Ware	51	Ford	495	36	0	9	0	0
29	Kyle Busch	18	Toyota	494	18	0	8	0	0
30	J.J. Yeley	15	Ford	488	35	0	0	0	0
31	Ty Dillon	42	Chevrolet	466	32	0	6	0	0
32	Landon Cassill	77	Chevrolet	460	33	0	0	0	0
33	Austin Dillon	3	Chevrolet	316	16	0	4	0	0
34	B.J. McLeod	78	Ford	225	34	0	0	0	0
35	Tyler Reddick	8	Chevrolet	188	28	0	2	0	0
36	Brad Keselowski	6	Ford	500	6	0	1	0	0
