POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Ryan Blaney	12	Ford	500	14	32	55	15	0
2	Chase Elliott	9	Chevrolet	500	2	129	45	10	0
3	Kyle Larson	5	Chevrolet	500	9	71	46	12	0
4	Austin Cindric	2	Ford	500	24	0	33	0	0
5	Denny Hamlin	11	Toyota	500	37	0	40	8	0
6	William Byron	24	Chevrolet	500	3	51	46	15	0
7	Austin Dillon	3	Chevrolet	500	10	0	37	7	50
8	Ross Chastain	1	Chevrolet	500	22	0	29	0	50
9	Brad Keselowski	6	Ford	500	18	170	39	11	0
10	Joey Logano	22	Ford	500	12	0	29	2	0
11	Noah Gragson	10	Ford	500	25	0	28	2	0
12	Shane van Gisbergen	16	Chevrolet	500	29	0	0	0	0
13	Alex Bowman	48	Chevrolet	500	7	0	31	7	0
14	Ryan Preece	41	Ford	500	8	0	31	8	0
15	Chase Briscoe	14	Ford	500	4	0	30	8	0
16	Josh Berry	4	Ford	500	11	0	21	0	0
17	Daniel Hemric	10	Chevrolet	500	15	0	20	0	0
18	Bubba Wallace	23	Toyota	499	19	6	19	0	50
19	Erik Jones	43	Toyota	499	21	0	18	0	0
20	Ricky Stenhouse Jr.	47	Chevrolet	499	28	0	17	0	0
21	Zane Smith	71	Chevrolet	499	36	0	16	0	0
22	Christopher Bell	20	Toyota	499	16	0	20	5	0
23	Daniel Suarez	99	Chevrolet	498	20	0	14	0	0
24	Martin Truex Jr.	19	Toyota	498	1	41	13	0	0
25	Carson Hocevar	77	Chevrolet	498	27	0	12	0	0
26	Todd Gilliland	38	Ford	498	13	0	11	0	0
27	Kaz Grala	15	Ford	497	33	0	10	0	0
28	Kyle Busch	8	Chevrolet	497	23	0	9	0	0
29	Justin Haley	7	Chevrolet	497	30	0	8	0	0
30	Chris Buescher	17	Ford	497	26	0	7	0	0
31	John Hunter Nemechek	42	Toyota	496	32	0	6	0	0
32	Ty Gibbs	54	Toyota	495	5	0	5	0	0
33	Michael McDowell	34	Ford	490	17	0	4	0	0
34	Tyler Reddick	45	Toyota	458	31	0	3	0	0
35	Corey LaJoie	51	Ford	365	34	0	2	0	0
36	Harrison Burton	21	Ford	347	6	0	1	0	0
37	Josh Bilicki	66	Ford	131	35	0	0	0	0
