POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Harrison Burton	21	Ford	164	20	1	40	0	0
2	Kyle Busch	8	Chevrolet	164	11	8	39	4	0
3	Christopher Bell	20	Toyota	164	27	0	34	0	0
4	Cody Ware	15	Ford	164	33	0	33	0	0
5	Ty Gibbs	54	Toyota	164	26	0	32	0	0
6	Bubba Wallace	23	Toyota	164	18	16	32	1	0
7	Parker Retzlaff	62	Chevrolet	164	29	0	0	0	0
8	Brad Keselowski	6	Ford	164	12	8	41	12	0
9	Daniel Hemric	10	Chevrolet	164	28	0	28	0	0
10	Chris Buescher	17	Ford	164	13	10	37	10	0
11	Carson Hocevar	77	Chevrolet	164	37	1	26	0	0
12	Ross Chastain	1	Chevrolet	164	24	0	25	0	0
13	Zane Smith	71	Chevrolet	164	30	0	24	0	0
14	Chase Briscoe	14	Ford	164	6	2	23	0	0
15	John Hunter Nemechek	42	Toyota	164	31	0	22	0	0
16	Alex Bowman	48	Chevrolet	164	21	0	21	0	0
17	Erik Jones	43	Toyota	164	40	0	20	0	0
18	Austin Cindric	2	Ford	164	8	15	26	7	0
19	B.J. McLeod	78	Chevrolet	164	38	0	0	0	0
20	Joey Gase	44	Chevrolet	164	39	0	0	0	0
21	Kyle Larson	5	Chevrolet	163	9	5	24	8	0
22	Austin Dillon	3	Chevrolet	162	16	0	15	0	0
23	Todd Gilliland	38	Ford	162	2	5	25	11	0
24	Martin Truex Jr.	19	Toyota	161	17	0	13	0	0
25	Austin Hill	33	Chevrolet	159	23	0	0	0	0
26	Josh Berry	4	Ford	158	5	9	21	10	0
27	William Byron	24	Chevrolet	158	7	1	15	5	0
28	Tyler Reddick	45	Toyota	156	25	0	9	0	0
29	Ryan Blaney	12	Ford	154	14	0	23	15	0
30	Michael McDowell	34	Ford	151	1	26	10	3	0
31	Joey Logano	22	Ford	151	3	34	25	19	0
32	Justin Haley	51	Ford	151	36	21	10	5	0
33	Ricky Stenhouse Jr.	47	Chevrolet	151	35	2	4	0	0
34	Corey LaJoie	7	Chevrolet	132	34	0	3	0	0
35	Shane van Gisbergen	16	Chevrolet	80	32	0	0	0	0
36	Chase Elliott	9	Chevrolet	61	10	0	1	0	0
37	Noah Gragson	10	Ford	59	15	0	1	0	0
38	Denny Hamlin	11	Toyota	59	19	0	1	0	0
39	Ryan Preece	41	Ford	59	4	0	1	0	0
40	Daniel Suarez	99	Chevrolet	37	22	0	1	0	0
